id ;origen ;tipologia ;altura ;diametro ;anchura Max;diametro Max
1;0;1;24;11,2;13;17
2;0;1;25,3;11;15;NA
3;0;1;27,5;11,2;14,5;14
4;0;3;20,2;14;NA ;NA
5;0;1;28;16;14;19
6;0;2;13;NA;17;13,5
7;0;2;11;NA;16;12,6
8;0;1;16,8;NA;NA ;13
9;0;3;14,4;5;8;9
10;0;1;12,2;10,18;NA ;14
11;0;2;7,5;NA;18;15,5
12;0;2;9;NA;16;18
13;0;1;10;16;NA ;14,3
14;0;1;10,8;NA;12;19,5
15;0;1;11,7;NA;NA ;10,4
16;0;1;14;NA;17;13,5
17;1;1;28,1;NA;14,5;11,5
18;1;1;17;9,2;14,5;13
19;1;1;34;16;NA ;NA
20;1;3;21;8,5;9,5;NA
21;1;2;14;10;NA ;29
22;1;2;20;12;NA ;27,5
23;1;3;20;NA;18,5;NA
24;1;3;21;NA;13;NA
25;1;1;21;NA;10;10
26;1;2;8;NA;NA ;18,1
27;1;2;5;NA;NA ;15,1
28;1;1;21;NA;15;NA
29;1;1;21,5;10,14;23;NA
30;1;1;15,7;NA;14,3;16
31;1;1;19;NA;NA ;15
32;1;1;21,4;7,5;23,2;NA
